Rec,Inf,UID,Name,Position,Club,Nat,Height,Weight,Age,Transfer Value,Wage,Preferred Foot,Left Foot,Right Foot,Personality,Media Handling,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr
- - -,,2002217830,Matheo Agualimpia,ST (C),Blackburn,COL,"6'0""",76 kg,19,£99M - £141M,"£5,500 p/w",Right,Weak,Very Strong,Determined,Volatile,5,7,16,17,14,9,10,9,3,3,11,8,1,11,6,12,10,12,10,14,19,16,14,16,8,10,10,14,13,16,13,12,15,16,14,12,2,1,1,2,1,3,3,2,3,1,2
- - -,PR,49056243,Eduardo Camavinga,"DM, M (C)",Blackburn,FRA,"6'0""",68 kg,23,£90M - £99M,"£92,000 p/w",Left,Very Strong,Reasonable,Fairly Determined,Level-headed,7,9,13,10,15,7,12,11,5,16,16,8,15,16,15,15,14,14,15,16,16,13,15,14,16,14,15,17,16,15,16,13,15,15,16,18,1,3,2,2,1,1,1,2,3,2,1
- - -,Wnt,93064994,Anel Ahmedhodžić,D (C),Blackburn,BIH,"6'3""",84 kg,27,£75M - £89M,"£75,000 p/w",Right,Reasonable,Very Strong,Spirited,Level-headed,6,13,12,5,13,7,15,7,8,16,16,8,15,12,14,17,15,14,15,17,15,10,14,11,15,13,14,13,15,13,13,17,13,15,14,14,1,1,3,1,4,3,2,3,2,2,2
- - -,PR,19380666,Marcos Leonardo,"AM (L), ST (C)",Blackburn,BRA,"5'9""",70 kg,23,£56M - £67M,"£110,000 p/w",Right,Reasonable,Very Strong,Balanced,Media-friendly,5,10,13,16,14,5,12,11,9,7,12,10,5,13,12,15,12,16,14,15,13,14,13,16,8,12,12,14,16,16,13,12,13,14,15,14,2,1,3,2,2,3,3,2,4,3,2
- - -,Inj,83283239,Tiago Santos,D/WB/M (R),Blackburn,POR,"5'7""",62 kg,24,£53M - £58M,"£145,000 p/w",Right,Weak,Very Strong,Balanced,Media-friendly,7,13,15,9,14,9,10,10,11,11,13,10,15,15,8,14,9,14,13,14,14,16,11,14,12,12,13,13,17,17,13,6,14,16,16,9,2,1,2,3,2,3,3,3,3,2,1
- - -,FtT,91193048,Florian Wirtz,"M (LC), AM (C)",Blackburn,GER,"5'9""",72 kg,23,£52M - £63M,"£130,000 p/w",Right,Fairly Strong,Very Strong,Spirited,Level-headed,12,10,15,13,15,11,7,14,5,6,15,11,9,16,13,14,13,15,12,15,15,15,9,15,8,14,15,16,14,15,14,7,13,14,14,10,2,4,3,1,4,2,2,3,1,1,3
- - -,,2002257453,Lucas Aquino,"AM (RL), ST (C)",Blackburn,ARG,"5'10""",69 kg,19,£51M - £61M,"£30,000 p/w",Right,Weak,Very Strong,Driven,Level-headed,12,11,16,13,17,14,10,11,6,5,11,6,6,16,11,12,11,13,9,13,19,15,7,16,8,11,11,12,17,16,18,5,18,15,12,10,2,1,1,1,2,1,2,2,2,1,2
- - -,Inj,2002310487,Ricardo Ordóñez,D/WB (L),Blackburn,ECU,"5'7""",68 kg,19,£45M - £55M,"£15,000 p/w",Left,Very Strong,Weak,Fairly Determined,Level-headed,10,11,11,5,12,8,10,8,9,12,10,8,12,16,12,15,17,9,11,14,16,5,14,12,13,13,12,12,15,16,13,6,14,12,17,10,1,2,1,3,2,3,1,2,1,3,4
- - -,Wnt,62220026,Strahinja Pavlović,D (C),Blackburn,SRB,"6'4""",83 kg,25,£43M - £51M,"£70,000 p/w",Left,Very Strong,Weak,Fairly Determined,Level-headed,5,5,9,6,12,6,14,7,8,15,11,8,13,11,14,15,15,14,14,13,15,12,13,10,16,12,13,14,12,13,15,17,15,14,15,17,3,2,3,2,3,2,1,3,2,1,4
- - -,PR,18091791,Wilfred Ndidi,"D (C), DM, M (C)",Blackburn,NGA,"6'0""",73 kg,29,£41M - £46M,"£70,000 p/w",Right,Weak,Very Strong,Fairly Ambitious,Level-headed,10,10,12,7,14,10,14,12,10,13,14,6,19,13,14,18,13,12,13,12,14,12,10,11,16,15,13,17,13,13,11,15,17,13,16,13,3,2,2,1,2,3,1,2,3,1,3
