Rec,Inf,UID,Name,Position,Club,Nat,Height,Weight,Age,Transfer Value,Wage,Preferred Foot,Left Foot,Right Foot,Personality,Media Handling,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr
- - -,Wnt,53101282,Sander Berge,"DM, M/AM (C)",Sheff Utd,NOR,195 cm,88 kg,24,£5.8M - £17.5M,"£35,000 p/w",Right,Reasonable,Very Strong,Fairly Ambitious,Level-headed,9,11,12,10,12,9,11,10,6,11,13,12,12,14,12,14,12,13,14,13,14,11,11,13,12,14,13,14,13,13,14,11,14,13,14,15,1,1,1,1,1,3,3,3,3,3,2
- - -,,8507078,Teemu Pukki,ST (C),Norwich,FIN,180 cm,78 kg,32,£3.2M - £9.4M,"£50,000 p/w",Right,Weak,Very Strong,Resolute,Reserved,7,11,12,16,14,9,10,11,5,5,12,18,6,12,14,15,9,15,13,13,15,10,4,17,5,17,14,18,14,13,13,9,15,14,13,13,4,3,1,3,2,3,2,1,3,1,3
- - -,Wnt,48042766,Ismaïla Sarr,"AM (RL), ST (C)",Watford,SEN,185 cm,76 kg,24,£28M,"£38,500 p/w",Right,Weak,Very Strong,Fairly Ambitious,Level-headed,10,12,15,14,12,10,8,15,6,6,12,14,7,13,11,12,14,13,11,12,14,14,6,14,7,10,11,13,15,14,15,11,15,18,14,13,3,1,2,1,4,3,1,1,3,2,2
- - -,,91156033,Zack Steffen,GK,Middlesbrough,USA,191 cm,86 kg,27,£4.2M - £12.5M,"£80,000 p/w",Right,Reasonable,Very Strong,Fairly Professional,"Media-friendly, Reserved",5,1,3,2,9,7,2,3,3,2,10,3,1,10,8,12,12,11,13,12,12,2,10,1,13,12,11,12,13,14,14,15,12,12,11,15,14,15,13,7,12,13,16,13,16,12,12
- - -,Wnt,29159400,Ben Brereton Díaz,"AM (RL), ST (C)",Blackburn,CHI,186 cm,80 kg,23,£7M - £21M,"£7,500 p/w",Right,Fairly Strong,Very Strong,Fairly Professional,Reserved,5,9,14,14,12,11,12,12,3,5,11,13,4,13,10,12,12,13,11,11,13,10,7,12,5,15,10,15,15,12,12,13,15,15,14,15,1,1,2,1,3,2,1,2,3,3,1
- - -,,37071106,Halil Dervişoğlu,"AM (RLC), ST (C)",Burnley,TUR,183 cm,75 kg,22,£7.4M - £22M,"£15,000 p/w",Either,Strong,Very Strong,Balanced,Level-headed,8,8,15,11,17,8,11,11,5,5,13,11,5,15,9,12,7,13,9,12,12,17,7,12,7,12,13,11,12,13,13,10,13,12,11,11,2,4,1,4,3,3,1,1,4,2,4
- - -,,29173977,Max Aarons,D/WB (R),Norwich,ENG,169 cm,63 kg,22,£16M - £48M,"£30,000 p/w",Right,Reasonable,Very Strong,Resolute,Reserved,4,10,14,5,13,6,9,7,6,13,12,5,14,14,8,14,12,16,12,12,17,11,4,13,12,14,12,14,15,15,15,7,15,15,15,10,2,1,1,4,3,3,3,2,1,2,3
- - -,,18023431,Christian Kabasele,D (C),Watford,BEL,188 cm,86 kg,31,£1.6M - £4.9M,"£16,500 p/w",Right,Reasonable,Very Strong,Fairly Ambitious,Media-friendly,6,8,9,10,12,8,14,12,10,11,10,10,12,11,12,14,14,12,10,11,13,8,10,12,13,12,9,14,14,12,15,15,12,15,12,15,1,2,1,2,1,1,2,3,2,2,2
- - -,Wnt,28059140,Charlie Taylor,D/WB (L),Burnley,ENG,181 cm,70 kg,28,£6.8M - £21M,"£25,000 p/w",Left Only,Very Strong,Weak,Light-Hearted,Level-headed,12,15,12,9,14,11,11,9,10,13,12,5,16,13,10,12,13,11,13,13,14,11,8,13,15,14,7,14,14,13,13,11,17,13,15,13,3,3,1,3,1,4,1,2,3,3,2
- - -,,859596,Tim Krul,GK,Norwich,NED,194 cm,83 kg,34,£2.7M - £8M,"£30,000 p/w",Left Only,Very Strong,Weak,Fairly Professional,Reserved,1,2,1,3,8,5,5,3,3,3,9,4,2,8,11,12,14,14,12,12,14,2,14,2,15,10,5,12,11,13,14,17,13,8,14,10,14,14,15,8,14,13,15,12,15,15,12
- - -,Inj,28000906,Tom Cleverley,M/AM (C),Watford,ENG,175 cm,67 kg,32,£900K - £2.7M,"£21,000 p/w",Right,Fairly Strong,Very Strong,Professional,Reserved,13,13,10,10,13,13,6,12,9,9,13,8,12,13,14,12,13,14,15,11,18,8,15,13,10,16,12,16,12,14,10,7,17,11,15,8,3,3,2,3,2,2,3,3,3,2,1
- - -,Inj,24040636,Jamilu Collins,D/WB (L),Cardiff,NGA,183 cm,73 kg,27,£1M - £3.1M,"£8,000 p/w",Left,Very Strong,Reasonable,Fairly Determined,Level-headed,7,11,13,6,11,7,9,8,15,12,10,7,14,12,15,12,16,11,11,10,15,13,10,11,12,12,8,16,14,13,15,10,16,15,13,12,3,2,3,2,3,2,3,3,3,1,1
- - -,,75045691,Marcelino Núñez,M/AM (C),Norwich,CHI,173 cm,73 kg,22,£14.5M - £43M,"£18,000 p/w",Right,Fairly Strong,Very Strong,Resolute,Level-headed,13,13,14,10,14,14,6,14,12,6,15,15,8,15,9,13,11,16,11,11,16,16,7,13,10,14,15,12,11,13,13,7,14,11,14,10,2,2,1,2,3,1,1,1,1,2,2
- - -,Wnt,85122274,Olivier Ntcham,M/AM (C),Swansea,FRA,180 cm,80 kg,26,£375K - £1.1M,"£15,000 p/w",Right,Reasonable,Very Strong,Fairly Ambitious,Media-friendly,10,11,14,12,13,10,7,14,5,7,13,13,9,14,9,13,8,15,9,13,10,14,7,12,9,11,14,10,10,13,15,10,9,12,9,13,3,2,3,2,2,3,1,1,3,1,1
- - -,,28122837,Troy Parrott,"AM (RL), ST (C)",Preston,IRL,186 cm,77 kg,20,£6.6M - £20M,"£20,000 p/w",Right,Fairly Strong,Very Strong,Fairly Ambitious,Media-friendly,8,11,12,13,14,10,7,10,5,6,13,11,9,13,14,12,10,11,11,11,12,13,7,13,7,12,13,14,13,13,13,11,12,13,14,12,3,1,2,3,3,4,4,3,2,3,1
- - -,,28000905,Craig Cathcart,D (RC),Watford,NIR,188 cm,73 kg,33,£600K - £1.8M,"£12,750 p/w",Right,Fairly Strong,Very Strong,Professional,Reserved,3,4,8,10,12,4,14,4,7,14,11,4,14,12,11,14,13,12,13,12,15,5,11,11,16,12,8,14,11,9,13,14,15,11,15,13,3,1,2,2,3,3,1,2,1,3,2
- - -,Inj,29007955,Joe Allen,"DM, M (C)",Swansea,WAL,168 cm,62 kg,32,Not for Sale,"£12,000 p/w",Right,Reasonable,Very Strong,Fairly Professional,Reserved,12,10,12,9,15,7,7,8,3,13,15,6,13,14,13,12,13,11,13,12,13,12,8,11,11,17,12,17,11,12,13,6,15,10,12,8,1,3,2,1,3,4,1,3,1,2,2
- - -,Inj,48038017,Imrân Louza,M/AM (C),Watford,MAR,178 cm,65 kg,23,£7.4M - £22M,"£30,000 p/w",Left,Very Strong,Reasonable,Resolute,Level-headed,11,12,13,10,15,11,8,12,6,12,14,10,8,15,11,13,12,13,13,14,15,12,10,14,13,14,15,14,12,13,10,8,11,12,13,11,1,2,2,1,2,3,1,2,4,1,2
- - -,Inj,61003328,John Fleck,"DM, M (C)",Sheff Utd,SCO,170 cm,73 kg,30,£1.1M - £3.4M,"£22,500 p/w",Left Only,Very Strong,Weak,Balanced,Level-headed,12,12,12,10,13,12,8,11,7,12,14,10,13,13,14,14,13,13,12,13,13,12,11,13,13,14,14,13,12,14,15,7,14,13,14,11,2,2,2,1,2,1,1,2,1,3,2
- - -,Wnt,75037516,Francisco Sierralta,D (RC),Watford,CHI,192 cm,83 kg,25,£1.9M - £5.6M,"£11,750 p/w",Right,Reasonable,Very Strong,Fairly Determined,Level-headed,6,6,7,6,10,5,17,7,6,14,10,6,14,9,15,10,16,11,14,11,15,5,13,8,13,12,10,12,11,12,15,15,15,11,14,15,3,2,3,2,2,3,2,1,1,1,2
- - -,Wnt,28060183,William Troost-Ekong,D (C),Watford,NGA,191 cm,90 kg,28,£3.7M,"£12,750 p/w",Right,Weak,Very Strong,Fairly Professional,Level-headed,3,3,5,5,10,7,14,7,6,14,8,6,14,12,14,14,14,12,12,12,14,6,15,8,14,14,7,13,13,12,13,14,11,13,14,15,1,1,3,3,2,1,2,2,1,1,1
- - -,Wnt,5007409,Jack Cork,"DM, M (C)",Burnley,ENG,185 cm,69 kg,33,£1.8M - £5.4M,"£25,000 p/w",Right,Reasonable,Very Strong,Professional,Unflappable,8,9,12,10,12,8,12,11,8,12,12,7,14,12,14,13,15,15,14,14,18,11,11,12,14,17,11,19,10,11,12,13,18,11,16,12,1,2,3,2,3,4,3,2,3,3,2
- - -,,28044428,John Egan,D (C),Sheff Utd,IRL,185 cm,72 kg,29,£3.1M - £9.2M,"£26,000 p/w",Right,Reasonable,Very Strong,Resolute,Reserved,7,8,8,8,10,5,14,10,6,12,12,8,14,11,14,14,17,11,14,13,16,7,14,9,14,14,12,15,12,10,13,15,13,12,14,14,1,3,1,3,3,2,3,1,3,3,1
- - -,,28062309,Callum Robinson,"AM (RLC), ST (C)",Cardiff,IRL,181 cm,75 kg,27,£2.1M - £6.4M,"£16,000 p/w",Right,Reasonable,Very Strong,Balanced,Level-headed,9,10,13,12,12,8,9,9,6,6,12,10,6,13,7,12,9,9,10,11,12,13,8,15,4,13,12,13,15,15,14,11,12,13,12,11,2,2,2,3,1,1,1,3,3,4,3
- - -,,28100205,Hamza Choudhury,"DM, M (C)",Watford,ENG,178 cm,64 kg,24,£7.4M - £22M,"£60,000 p/w",Right,Fairly Strong,Very Strong,Balanced,Level-headed,6,9,11,6,12,7,10,9,11,12,13,8,16,12,17,15,14,12,12,11,14,11,11,8,10,15,12,17,14,13,13,11,14,12,17,12,1,3,3,1,3,3,1,3,1,4,1
- - -,,29085910,Kortney Hause,D (LC),Watford,ENG,188 cm,84 kg,26,£4.6M - £14M,"£50,000 p/w",Left Only,Very Strong,Weak,Fairly Ambitious,Media-friendly,5,6,10,6,11,5,15,5,12,13,13,6,14,12,14,13,13,13,13,13,9,7,10,13,13,13,9,13,13,14,12,14,13,14,15,15,1,2,1,3,2,2,1,3,1,2,4
- - -,,29110715,Josh Brownhill,"DM, M (RC)",Burnley,ENG,178 cm,69 kg,26,£8.2M - £24M,"£25,000 p/w",Right,Reasonable,Very Strong,Balanced,Media-friendly,14,12,13,9,13,14,9,12,8,12,15,12,13,12,13,13,13,13,13,13,10,12,8,14,12,16,13,16,13,13,12,11,14,12,16,11,3,1,2,1,2,1,2,2,3,3,2
- - -,,28016099,Andreas Weimann,"AM (RLC), ST (C)",Bristol City,AUT,179 cm,76 kg,30,£2.1M - £6.2M,"£15,000 p/w",Right Only,Weak,Very Strong,Balanced,Media-friendly,7,12,11,15,14,8,12,12,5,5,12,11,6,13,13,14,11,9,10,11,13,13,9,13,7,9,13,16,14,15,12,9,15,13,15,8,2,2,1,1,3,2,1,1,3,2,3
- - -,Wnt,29108066,Oli McBurnie,ST (C),Sheff Utd,SCO,188 cm,84 kg,26,£1.8M,"£22,500 p/w",Right Only,Weak,Very Strong,Fairly Ambitious,"Outspoken, Media-friendly",5,8,12,13,12,6,15,9,7,8,12,12,6,12,13,12,14,13,13,12,14,11,12,13,8,14,11,13,13,12,14,14,11,13,13,13,2,3,2,1,2,4,2,2,2,3,2
- - -,Inj,28080955,Jack O'Connell,D (C),Sheff Utd,ENG,190 cm,85 kg,28,£1.3M - £4M,"£22,500 p/w",Left,Very Strong,Reasonable,Fairly Determined,Level-headed,6,12,9,7,11,6,15,6,6,13,12,7,13,12,14,13,14,13,13,12,15,8,12,13,13,12,13,14,11,12,12,14,12,12,13,15,1,3,3,2,2,1,1,2,3,1,2
- - -,Inj,29000899,Ashley Westwood,"DM, M (C)",Burnley,ENG,170 cm,76 kg,32,£2.8M - £8.2M,"£25,000 p/w",Right,Reasonable,Very Strong,Fairly Loyal,Level-headed,13,13,9,9,14,12,8,10,5,13,14,10,14,14,13,14,14,15,15,14,14,6,13,8,14,16,14,16,11,12,11,10,14,11,15,8,2,2,2,2,2,3,1,3,3,3,2
- - -,,12021720,Jean Michaël Séri,"DM, M (C)",Hull,CIV,168 cm,69 kg,30,£1.8M - £5.4M,"£24,000 p/w",Right,Reasonable,Very Strong,Fairly Ambitious,Level-headed,14,12,10,12,15,13,5,12,5,9,16,14,9,15,13,13,14,15,12,13,14,12,10,14,8,17,16,12,12,13,10,5,14,12,11,7,1,2,2,2,2,1,2,3,1,3,2
- - -,Wnt,29139576,Todd Cantwell,M/AM (RLC),Norwich,ENG,177 cm,66 kg,24,£4.1M - £12.5M,"£20,000 p/w",Right,Reasonable,Very Strong,Fairly Ambitious,Level-headed,10,13,16,12,15,10,4,10,2,6,15,15,7,16,9,12,7,16,12,14,8,16,9,13,10,13,16,11,11,16,16,6,13,11,12,7,2,2,2,1,1,1,3,2,1,2,4
- - -,Inj,39007034,Jóhann Berg Guðmundsson,M/AM (RL),Burnley,ISL,178 cm,79 kg,31,£1.9M - £5.8M,"£25,000 p/w",Left,Very Strong,Reasonable,Fairly Professional,Reserved,12,13,13,11,12,14,10,13,5,7,13,14,7,12,12,13,10,14,11,11,14,13,5,12,11,15,14,15,13,12,13,13,15,13,14,12,1,3,1,2,3,1,3,1,3,3,1
- - -,Inj,48031396,Adama Traoré,M/AM (C),Hull,MLI,180 cm,72 kg,26,£2M - £5.8M,"£10,500 p/w",Left,Very Strong,Reasonable,Fairly Sporting,Level-headed,12,11,14,8,15,12,9,13,4,10,15,12,11,14,10,12,11,14,10,13,11,14,9,10,10,13,15,12,14,14,12,10,13,14,10,9,2,3,3,1,3,1,2,3,2,3,3
- - -,,16045707,Daniel Bachmann,GK,Watford,AUT,191 cm,81 kg,27,£1.8M - £5.4M,"£8,000 p/w",Right,Reasonable,Very Strong,Balanced,Level-headed,4,1,2,3,7,6,6,1,3,3,10,5,2,9,11,11,13,13,13,12,7,5,9,1,11,12,10,11,11,13,15,15,6,10,10,14,13,14,13,3,12,10,15,8,15,10,11
- - -,,28067790,Isaac Hayden,"DM, M (C)",Norwich,ENG,185 cm,79 kg,27,£3.8M - £11.5M,"£40,000 p/w",Right,Fairly Strong,Very Strong,Professional,Level-headed,5,10,11,7,12,5,11,10,7,13,12,9,14,12,14,15,15,14,12,13,15,8,12,12,14,15,10,15,12,11,12,13,16,12,15,12,3,1,3,2,3,3,2,2,2,3,2
- - -,,67066949,Mario Gaspar,D/WB (R),Watford,ESP,182 cm,74 kg,31,£1.1M - £3.4M,"£8,000 p/w",Right,Reasonable,Very Strong,Resolute,Reserved,8,13,12,9,12,6,7,9,13,15,12,8,16,12,13,15,14,13,15,11,15,9,14,13,14,15,11,14,10,14,13,9,13,10,13,10,3,3,3,2,1,1,1,3,1,3,2
