Rec,Inf,UID,Name,Position,Club,Nat,Height,Weight,Age,Transfer Value,Wage,Preferred Foot,Left Foot,Right Foot,Personality,Media Handling,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr
- - -,,18004457,Kevin De Bruyne,"M (RLC), AM (C)",Man City,BEL,181 cm,68 kg,30,Not for Sale,"£350,000 p/w",Either,Strong,Very Strong,Professional,Level-headed,14,19,15,16,16,17,6,17,7,9,18,16,9,18,12,14,13,15,15,18,17,16,13,14,11,14,20,15,15,13,14,10,16,14,17,13,3,4,1,4,3,1,1,1,2,2,1
- - -,,29179241,Erling Haaland,ST (C),Man City,NOR,195 cm,88 kg,21,Not for Sale,"£350,000 p/w",Left,Very Strong,Reasonable,Driven,Evasive,7,10,14,18,16,13,15,13,5,6,13,17,7,15,13,18,15,18,15,13,20,16,13,18,7,13,14,13,17,16,17,18,19,19,14,17,3,3,3,1,3,3,2,1,2,3,1
- - -,,98028755,Mohamed Salah,"AM (RL), ST (C)",Liverpool,EGY,175 cm,72 kg,30,Not for Sale,"£350,000 p/w",Left,Very Strong,Weak,Professional,Unflappable,12,14,17,17,17,12,10,13,6,7,15,17,7,17,11,16,11,15,15,15,18,15,11,18,9,15,17,16,18,16,18,8,17,18,15,15,1,3,1,3,3,2,1,4,1,3,1
- - -,,28049320,Harry Kane,"AM (C), ST (C)",Tottenham,ENG,188 cm,86 kg,28,Not for Sale,"£200,000 p/w",Either,Very Strong,Very Strong,Model Professional,Unflappable,9,15,14,19,15,10,15,15,6,10,18,20,11,16,11,15,14,18,15,18,19,12,15,16,12,18,18,16,12,12,14,13,16,14,16,15,4,3,2,1,1,2,2,2,2,2,1
- - -,,37024025,Virgil van Dijk,D (C),Liverpool,NED,193 cm,92 kg,30,£118M - £355M,"£240,000 p/w",Right,Reasonable,Very Strong,Resilient,Unflappable,3,5,13,8,17,12,18,7,8,17,16,7,17,16,17,17,15,17,16,17,16,12,17,8,17,14,14,12,15,12,15,17,17,16,14,17,3,1,3,3,1,4,1,2,1,3,2
- - -,,55070299,Rúben Dias,D (C),Man City,POR,186 cm,83 kg,25,Not for Sale,"£175,000 p/w",Right,Fairly Strong,Very Strong,Professional,Unflappable,4,11,12,6,13,5,15,4,5,17,14,8,18,13,16,17,18,15,16,15,18,8,17,8,17,16,13,17,13,13,12,16,18,13,18,16,3,1,1,2,2,2,3,2,1,3,3
- - -,,55041632,Bernardo Silva,M/AM (RC),Man City,POR,173 cm,64 kg,27,Not for Sale,"£180,000 p/w",Left,Very Strong,Weak,Perfectionist,Level-headed,14,15,17,15,17,13,10,13,2,12,17,13,8,18,13,16,15,16,15,15,16,17,12,17,13,16,17,20,15,19,16,7,17,14,17,9,3,1,3,2,2,3,1,1,3,2,4
- - -,,55057659,Ederson,GK,Man City,BRA,188 cm,86 kg,28,£140M - £421M,"£180,000 p/w",Left,Very Strong,Reasonable,Iron Willed,Unflappable,5,3,11,3,14,8,9,12,2,3,18,12,2,17,12,17,18,20,16,15,16,1,7,15,13,14,17,13,14,13,13,13,15,13,14,13,13,16,13,15,16,20,13,6,14,17,17
- - -,,735216,Cristiano Ronaldo,ST (C),Man UFC,POR,187 cm,84 kg,37,£8.8M - £26M,"£475,000 p/w",Either,Strong,Very Strong,Perfectionist,"Outspoken, Evasive",10,11,11,19,15,10,19,15,5,3,13,19,2,15,6,18,12,15,14,12,20,17,18,17,2,5,11,7,12,10,13,17,16,13,13,15,2,3,2,3,3,1,1,3,1,2,2
- - -,Inj,19058734,Alisson,GK,Liverpool,BRA,191 cm,91 kg,29,£127M - £381M,"£190,000 p/w",Right,Reasonable,Very Strong,Professional,Unflappable,2,3,10,1,15,2,7,2,1,2,14,5,3,14,12,17,14,17,15,16,19,13,11,11,18,11,11,17,13,16,16,13,17,13,12,15,15,13,14,12,16,15,17,14,17,16,14
