Rec,Inf,UID,Name,Position,Club,Nat,Height,Weight,Age,Transfer Value,Wage,Preferred Foot,Left Foot,Right Foot,Personality,Media Handling,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr
- - -,,719601,Robert Lewandowski,ST (C),Barcelona,POL,185 cm,81 kg,33,Not for Sale,"£300,000 p/w",Right,Fairly Strong,Very Strong,Professional,Outspoken,3,8,13,19,18,15,17,12,3,7,13,20,7,16,15,19,16,17,17,17,20,14,15,19,7,12,13,12,14,13,19,15,20,14,18,16,3,2,3,1,2,1,3,3,3,2,1
- - -,,653054,Luka Modrić,M/AM (C),R. Madrid,CRO,172 cm,67 kg,36,£13.5M - £41M,"£275,000 p/w",Right,Fairly Strong,Very Strong,Model Citizen,Unflappable,16,16,17,9,20,13,8,14,7,8,19,14,11,19,12,17,14,18,18,18,17,13,14,15,15,17,19,16,12,14,13,7,13,13,13,8,2,3,3,1,2,2,1,2,2,3,1
- - -,,8435089,Karim Benzema,ST (C),R. Madrid,FRA,185 cm,82 kg,34,£49M - £147M,"£275,000 p/w",Either,Strong,Very Strong,Driven,"Outspoken, Unflappable",10,13,16,17,20,12,15,12,7,7,18,15,9,20,7,14,10,18,14,17,18,17,11,15,12,16,18,14,15,14,15,11,11,15,14,14,2,2,2,2,1,1,3,2,3,2,2
- - -,,18026122,Thibaut Courtois,GK,R. Madrid,BEL,199 cm,96 kg,30,£110M - £331M,"£250,000 p/w",Left,Very Strong,Reasonable,Spirited,Evasive,5,2,10,1,10,7,10,2,2,1,13,2,1,12,8,15,15,12,16,16,16,14,13,3,16,14,9,11,12,13,14,18,12,11,8,14,20,16,14,5,16,16,18,6,19,12,15
- - -,,64016316,Jan Oblak,GK,A. Madrid,SVN,189 cm,84 kg,29,£52M - £155M,"£250,000 p/w",Right,Weak,Very Strong,Light-Hearted,Level-headed,4,3,1,2,12,6,2,2,2,1,16,12,3,11,8,11,13,17,16,16,15,15,11,1,16,13,8,13,11,13,13,13,9,13,13,13,15,15,15,4,18,16,16,9,19,15,14
- - -,,19302146,Vinícius Júnior,AM (RL),R. Madrid,BRA,177 cm,62 kg,21,£121M - £364M,"£185,000 p/w",Right,Fairly Strong,Very Strong,Perfectionist,Level-headed,7,13,18,16,13,8,11,12,4,3,14,12,6,15,15,14,15,15,13,15,18,16,12,16,9,13,14,15,19,16,14,8,15,17,14,12,1,1,2,2,3,3,3,4,2,3,3
- - -,,35017428,Marc-André ter Stegen,GK,Barcelona,GER,187 cm,85 kg,30,£74M - £221M,"£140,000 p/w",Either,Strong,Very Strong,Perfectionist,"Evasive, Reserved",8,1,1,3,13,10,7,2,1,2,17,4,2,14,11,17,15,18,15,13,18,5,14,2,12,14,9,10,14,14,16,16,15,11,13,15,13,15,15,12,14,19,14,10,18,18,17
- - -,,19334410,Matheus Cunha,"AM (RLC), ST (C)",A. Madrid,BRA,183 cm,76 kg,23,£11.5M - £34M,"£66,000 p/w",Right,Fairly Strong,Very Strong,Ambitious,"Outspoken, Media-friendly",12,12,17,15,15,13,11,16,5,4,14,13,6,17,16,11,15,12,6,8,16,17,10,12,5,7,11,12,15,15,14,12,12,15,13,12,1,1,2,1,1,3,1,3,2,4,3
- - -,,156772,Toni Kroos,"DM, M (C)",R. Madrid,GER,183 cm,76 kg,32,£17.5M - £52M,"£300,000 p/w",Either,Strong,Very Strong,Fairly Professional,Media-friendly,19,18,14,13,18,14,7,17,8,8,20,13,9,16,9,17,9,18,14,17,10,11,12,15,14,16,18,11,11,10,12,10,12,12,12,14,1,3,2,1,1,1,3,1,1,1,1
- - -,,85140178,Ousmane Dembélé,M/AM (RL),Barcelona,FRA,178 cm,67 kg,25,£24M - £71M,"£200,000 p/w",Either,Very Strong,Very Strong,Balanced,Media-friendly,13,16,19,12,14,10,7,13,6,4,12,11,5,17,9,11,11,9,8,8,13,18,8,14,5,7,14,11,18,18,11,9,12,18,12,9,1,1,2,3,2,1,1,2,3,3,3
- - -,,5124470,Gerard Piqué,D (C),Barcelona,ESP,194 cm,85 kg,35,£1.8M - £5.4M,"£105,000 p/w",Right,Reasonable,Very Strong,Spirited,Outspoken,7,7,12,11,15,7,16,8,7,15,16,13,15,16,12,15,14,17,15,17,14,10,17,8,18,15,15,15,10,8,9,16,15,11,13,14,1,2,3,3,3,2,1,1,2,2,3
- - -,Lst,18004418,Eden Hazard,AM (RLC),R. Madrid,BEL,173 cm,76 kg,31,£27M,"£375,000 p/w",Either,Strong,Very Strong,Light-Hearted,Level-headed,12,13,18,15,17,13,7,11,5,3,16,19,4,18,8,13,12,16,13,15,15,18,6,15,7,8,16,11,14,15,17,8,12,13,13,11,1,2,2,3,3,1,3,2,2,1,2
- - -,,955978,Alejandro Gómez,"M (C), AM (LC), ST (C)",Sevilla,ARG,167 cm,68 kg,34,Not for Sale,"£61,000 p/w",Right,Fairly Strong,Very Strong,Professional,Level-headed,14,16,17,12,18,13,5,17,3,3,16,14,5,17,12,15,14,12,12,15,17,17,14,13,4,14,17,11,15,17,14,5,15,13,12,7,3,3,1,3,1,3,2,2,1,1,3
- - -,Wnt,67052513,Jordi Alba,D/WB (L),Barcelona,ESP,170 cm,68 kg,33,£13M - £39M,"£185,000 p/w",Left,Very Strong,Reasonable,Perfectionist,Outspoken,12,14,13,13,16,10,5,10,12,12,13,10,14,15,15,16,15,12,13,14,16,13,13,18,12,15,15,16,17,14,15,6,13,15,15,9,2,2,1,2,2,1,3,3,1,2,2
- - -,,78074594,Federico Valverde,"M (RC), AM (R)",R. Madrid,URU,181 cm,74 kg,23,£47M - £140M,"£66,000 p/w",Right,Fairly Strong,Very Strong,Fairly Determined,Level-headed,13,13,12,11,14,12,12,13,10,13,15,11,13,13,12,14,15,12,14,14,15,14,13,15,12,17,14,17,17,15,15,12,17,17,17,14,2,1,2,2,2,3,2,1,3,1,1
- - -,,1510566,Sergio Busquets,"DM, M (C)",Barcelona,ESP,189 cm,76 kg,33,£10.5M - £32M,"£200,000 p/w",Right,Fairly Strong,Very Strong,Perfectionist,Level-headed,8,11,12,8,16,8,11,9,8,15,17,10,15,16,12,19,12,18,18,18,16,9,13,10,17,19,16,15,10,10,11,14,15,11,12,11,1,2,2,2,3,3,2,3,3,2,1
- - -,,7458280,David Silva,M/AM (RLC),Real San Sebastián,ESP,173 cm,67 kg,36,£1.6M - £4.8M,"£86,000 p/w",Left,Very Strong,Fairly Strong,Light-Hearted,Unflappable,13,13,18,11,18,14,9,13,5,8,17,12,9,19,12,14,13,17,15,17,15,17,12,18,8,15,18,14,9,12,14,7,13,9,10,9,1,3,3,1,2,1,1,1,2,2,2
