Rec,Inf,UID,Name,Position,Club,Nat,Height,Weight,Age,Transfer Value,Wage,Preferred Foot,Left Foot,Right Foot,Personality,Media Handling,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr
- - -,Wnt,62127037,Sergej Milinković-Savić,M/AM (C),Lazio,SRB,191 cm,82 kg,27,£27M - £82M,"£98,000 p/w",Either,Strong,Very Strong,Resolute,Reserved,4,6,14,16,16,15,17,15,3,7,16,13,13,16,14,15,17,12,11,13,17,18,14,16,11,16,15,15,12,12,17,17,20,12,18,17,3,1,1,2,1,3,3,2,2,3,2
- - -,Inj,85028014,Paul Pogba,M/AM (LC),Juventus,FRA,191 cm,84 kg,29,£15.5M - £46M,"£170,000 p/w",Right,Fairly Strong,Very Strong,Fairly Professional,Media-friendly,10,14,16,14,18,15,14,14,4,6,19,15,11,18,12,16,10,14,10,12,13,18,13,14,7,15,18,8,12,13,16,16,15,14,16,16,1,1,4,2,4,1,3,1,2,2,3
- - -,,18007344,Romelu Lukaku,ST (C),Inter,BEL,191 cm,93 kg,29,£65M - £194M,"£350,000 p/w",Left,Very Strong,Fairly Strong,Driven,Evasive,4,10,13,18,13,11,15,14,3,5,13,20,10,14,16,15,16,16,13,14,18,13,16,15,5,19,11,12,14,8,20,16,15,17,14,20,1,2,1,2,2,3,3,3,2,2,3
- - -,nEU,14110660,Lautaro Martínez,ST (C),Inter,ARG,174 cm,79 kg,24,£55M - £165M,"£185,000 p/w",Right,Fairly Strong,Very Strong,Perfectionist,Reserved,4,8,14,15,16,8,16,14,3,5,12,15,8,16,18,15,18,13,12,13,19,16,12,16,7,15,12,18,16,17,14,11,16,17,15,13,2,2,2,1,2,1,3,3,3,3,4
- - -,Inj,14000219,Ángel Di María,"M (RL), AM (RLC)",Juventus,ARG,180 cm,75 kg,34,£9M - £27M,"£125,000 p/w",Left,Very Strong,Weak,Professional,Evasive,16,17,17,14,16,14,5,17,4,4,17,14,7,19,12,16,12,14,12,14,16,17,10,15,4,12,18,12,15,17,12,10,15,15,12,10,2,3,1,1,2,4,2,1,2,1,2
- - -,Wnt,43139595,Nicolò Barella,M (C),Inter,ITA,172 cm,68 kg,25,£23M - £68M,"£155,000 p/w",Right,Reasonable,Very Strong,Professional,"Evasive, Reserved",12,13,14,11,15,14,7,13,3,11,16,12,17,15,19,14,18,14,13,14,19,14,14,15,14,18,16,20,14,15,16,8,17,15,15,13,3,2,3,3,3,3,2,1,1,2,3
- - -,Wnt,63013145,Milan Škriniar,D (C),Inter,SVK,188 cm,82 kg,27,£22M - £66M,"£92,000 p/w",Right,Reasonable,Very Strong,Professional,Reserved,4,7,9,10,10,4,17,6,11,18,12,10,17,11,17,16,17,12,13,13,18,6,14,10,14,16,9,16,14,11,16,16,18,15,16,18,1,1,1,2,4,1,2,3,3,2,4
- - -,,14044150,Paulo Dybala,"AM (RC), ST (C)",AS Roma,ARG,177 cm,79 kg,28,£8.6M - £26M,"£140,000 p/w",Left,Very Strong,Reasonable,Balanced,Media-friendly,16,15,18,15,18,17,13,17,4,4,17,16,4,19,9,16,10,12,11,14,13,17,11,14,4,14,17,12,14,18,18,7,10,12,12,12,3,1,4,1,3,3,2,3,1,2,1
- - -,,43010773,Ciro Immobile,ST (C),Lazio,ITA,185 cm,85 kg,32,Not for Sale,"£125,000 p/w",Right,Fairly Strong,Very Strong,Model Professional,Level-headed,4,3,12,18,13,4,16,14,4,4,12,17,7,12,14,18,15,14,13,14,20,12,15,19,3,16,11,16,15,14,16,11,20,16,15,13,1,3,1,3,2,1,1,3,1,2,3
- - -,,76010707,Juan Cuadrado,D/WB/M/AM (R),Juventus,COL,179 cm,72 kg,34,£2.6M - £8M,"£155,000 p/w",Right,Reasonable,Very Strong,Professional,Evasive,12,15,16,10,15,10,7,13,6,13,15,9,13,17,16,12,13,12,12,11,19,16,12,15,13,11,15,15,16,16,12,8,19,15,13,9,3,3,1,2,2,1,3,1,3,1,1
