Rec,Inf,UID,Name,Position,Club,Nat,Height,Weight,Age,Transfer Value,Wage,Preferred Foot,Left Foot,Right Foot,Personality,Media Handling,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr
- - -,,83169864,Nuno Tavares,D/WB (L),Arsenal,POR,"6'0""",75 kg,21,£17M - £52M,"£30,000 p/w",Left,Very Strong,Reasonable,Fairly Ambitious,Outspoken,11,12,13,8,13,8,9,11,11,10,12,7,13,13,12,12,15,12,9,11,12,12,6,13,11,13,13,13,16,14,12,12,16,15,14,13,2,1,2,1,1,3,1,4,1,1,3
- - -,,2000047219,Luigi Gaspar,M (C),Arsenal,BRA,"5'11""",68 kg,17,£40K - £120K,"£1,500 p/w",Right,Reasonable,Very Strong,Fairly Determined,Level-headed,3,1,6,4,13,5,5,6,2,7,10,4,11,11,15,5,6,7,5,12,16,7,11,9,6,7,12,11,12,7,6,5,12,11,6,5,1,1,3,3,2,1,3,2,2,3,1
- - -,,2000047224,Zane Monlouis,D (C),Arsenal,ENG,"6'1""",73 kg,17,£400K - £1.2M,"£1,000 p/w",Right,Fairly Strong,Very Strong,Fairly Determined,Media-friendly,5,3,2,2,8,1,10,3,3,9,13,4,15,13,15,9,10,10,8,10,15,5,9,6,15,8,7,9,7,10,9,12,12,9,10,5,1,1,1,2,3,1,3,3,1,3,2
- - -,Set,37079134,Salah Oulad M'Hand,M/AM (C),Arsenal,NED,"6'0""",74 kg,17,£950K - £2.9M,"£1,500 p/w",Right,Fairly Strong,Very Strong,Balanced,Media-friendly,11,9,8,11,9,9,9,8,6,7,10,7,7,13,15,9,9,11,7,9,9,10,7,7,6,10,12,11,13,10,9,10,10,10,8,7,3,2,3,2,4,4,3,3,2,4,2
- - -,Set,34011687,Alexandre Lacazette,ST (C),Arsenal,FRA,"5'9""",73 kg,30,£13M - £39M,"£180,000 p/w",Right,Reasonable,Very Strong,Fairly Loyal,Level-headed,5,11,14,15,15,11,13,13,3,5,12,14,5,15,10,15,14,14,14,14,12,15,12,16,7,15,12,17,14,15,15,10,15,12,14,14,3,1,2,2,1,2,4,1,1,3,2
- - -,Wnt,28122643,Arthur Okonkwo,GK,Arsenal,ENG,"6'5""",93 kg,19,£325K - £1M,"£2,000 p/w",Right,Fairly Strong,Very Strong,Balanced,Media-friendly,1,1,3,1,6,3,1,3,1,2,6,1,1,4,13,8,12,7,9,8,12,2,4,1,10,12,4,8,6,13,13,16,11,8,10,14,16,13,8,9,12,9,13,5,15,7,9
- - -,Set,19351309,Gabriel Martinelli,"AM (RL), ST (C)",Arsenal,BRA,"5'11""",72 kg,20,£30M - £91M,"£40,000 p/w",Right,Weak,Very Strong,Resolute,Reserved,5,10,14,13,14,10,13,8,3,5,12,11,5,14,12,13,13,12,12,11,16,15,6,14,6,16,12,16,17,15,13,11,13,16,13,9,1,1,2,2,1,1,2,3,3,1,3
- - -,,28110646,Jonathan Dinzeyi,D (C),Arsenal,ENG,"6'2""",83 kg,21,£100K - £300K,"£2,000 p/w",Right Only,Weak,Very Strong,Balanced,Media-friendly,7,5,3,7,9,3,11,6,9,9,8,7,11,9,10,8,9,10,8,8,12,5,6,9,8,13,6,12,14,8,8,15,15,13,11,12,2,1,4,3,1,1,1,3,1,3,2
- - -,Wnt,28116316,Zak Swanson,D (RL),Arsenal,ENG,"5'11""",72 kg,20,£170K - £500K,"£2,000 p/w",Right,Fairly Strong,Very Strong,Fairly Determined,Media-friendly,8,9,9,5,11,8,8,7,12,8,10,7,11,11,12,10,11,8,10,9,16,9,9,8,9,12,8,14,14,11,9,10,18,13,12,7,1,3,3,2,1,4,1,3,3,3,3
- - -,Set,2000010105,Joel Ideho,"M (R), AM (RLC), ST (C)",Arsenal,NED,"5'7""",65 kg,17,£700K - £2.1M,"£1,000 p/w",Right,Weak,Very Strong,Balanced,Media-friendly,7,11,14,10,7,7,5,8,7,5,10,7,5,13,5,8,9,9,5,7,14,10,6,11,7,7,9,9,14,12,12,4,15,14,7,3,1,2,2,1,1,1,1,1,3,4,1
- - -,Yth,2000009022,Mauro Bandeira,"DM, M (C)",Arsenal,POR,"5'9""",68 kg,17,£90K - £275K,£150 p/w,Right,Reasonable,Very Strong,Balanced,Level-headed,8,7,10,8,11,8,8,7,5,5,8,5,8,10,12,8,8,11,6,7,3,5,10,12,11,15,11,13,11,5,8,11,13,10,10,9,3,1,2,1,3,2,2,3,2,1,3
- - -,Set,92012109,Bernd Leno,GK,Arsenal,GER,"6'3""",83 kg,29,£11.5M - £35M,"£100,000 p/w",Right,Weak,Very Strong,Fairly Professional,Level-headed,5,1,1,3,10,6,6,2,2,3,10,3,2,9,8,14,14,11,12,10,14,4,9,6,13,16,7,10,13,16,14,14,14,10,12,12,13,14,12,13,15,15,17,13,17,16,12
- - -,Set,53152609,George Lewis,"AM (RLC), ST (C)",Arsenal,NOR,"5'7""",61 kg,21,£55K - £170K,"£2,000 p/w",Right Only,Weak,Very Strong,Fairly Determined,Media-friendly,6,8,12,8,12,5,5,10,3,5,8,9,4,12,10,8,6,7,5,5,16,13,4,12,4,7,6,10,15,14,5,4,13,14,9,5,3,3,2,3,1,3,2,1,3,3,2
