Rec,Inf,UID,Name,Position,Club,Nat,Height,Weight,Age,Transfer Value,Wage,Preferred Foot,Left Foot,Right Foot,Personality,Media Handling,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr
- - A+ -,Trn,49056243,Eduardo Camavinga,"DM, M (C)",R. Madrid,FRA,"6'0""",68 kg,22,£53M,"£170,000 p/w",Left,Very Strong,Reasonable,Spirited,Unflappable,6,8,12,9,14,6,11,9,4,14,15,8,15,15,15,15,14,14,14,14,16,13,13,13,15,14,14,16,15,15,15,12,15,14,15,17,1,3,2,2,1,1,1,2,3,2,1
- - -,Inj,67279753,Ilaix Moriba,"DM, M/AM (C)",Blackburn,GUI,"6'1""",73 kg,21,£44M - £53M,"£2,600 p/w",Right,Fairly Strong,Very Strong,Perfectionist,Media-friendly,7,9,14,13,15,10,11,14,3,9,15,11,12,16,13,12,15,13,12,13,17,17,11,12,11,11,14,12,13,14,14,14,15,14,13,12,2,2,3,3,1,3,4,3,1,1,4
- - -,PR,49040115,Illan Meslier,GK,Blackburn,FRA,"6'5""",74 kg,24,£40M - £44M,"£120,000 p/w",Left Only,Very Strong,Weak,Balanced,Level-headed,3,3,1,1,12,7,9,1,2,3,12,2,3,12,12,16,14,14,15,14,12,4,9,4,15,12,12,13,9,17,13,17,15,9,14,9,18,14,13,10,13,13,17,9,16,13,15
- - -,Wnt,67260506,Kang-In Lee,"M/AM (RLC), ST (C)",Blackburn,KOR,"5'8""",68 kg,23,£36M - £44M,"£62,000 p/w",Left,Very Strong,Fairly Strong,Spirited,Evasive,12,12,15,13,15,13,8,14,8,6,15,13,5,15,13,12,11,13,10,12,16,17,10,14,9,9,16,12,13,16,14,7,13,12,12,12,3,1,1,3,2,2,1,3,3,4,3
- - -,PR,83283239,Tiago Santos,D/WB/M (R),Blackburn,POR,"5'7""",62 kg,22,£36M - £41M,"£70,000 p/w",Right,Weak,Very Strong,Balanced,Media-friendly,7,13,14,8,14,8,9,10,11,10,12,10,15,15,8,12,9,13,13,14,12,15,10,14,12,11,12,12,17,17,13,6,14,16,15,8,2,1,2,3,2,3,3,3,3,2,1
- - -,PR,19380666,Marcos Leonardo,"AM (L), ST (C)",Blackburn,BRA,"5'9""",70 kg,21,£32M - £42M,"£100,000 p/w",Right,Reasonable,Very Strong,Balanced,Media-friendly,4,9,13,15,13,5,12,11,8,6,12,10,5,13,12,15,12,15,13,13,13,13,13,15,8,12,12,14,15,16,13,12,13,14,15,13,2,1,3,2,2,3,3,2,4,3,2
- - -,Inj,24061498,Dion Drena Beljo,ST (C),Blackburn,CRO,"6'5""",89 kg,22,£31M - £40M,"£9,250 p/w",Left,Very Strong,Reasonable,Driven,Level-headed,4,7,13,16,14,6,13,12,3,4,12,14,4,14,12,15,12,13,12,14,18,15,9,14,8,13,13,12,13,13,14,16,15,14,14,15,3,3,2,1,2,3,1,1,3,3,2
- - A+ -,,19408255,Kayky,"M/AM (R), ST (C)",Blackburn,BRA,"5'9""",67 kg,21,£31M - £38M,"£5,000 p/w",Left Only,Very Strong,Weak,Balanced,Media-friendly,11,15,15,11,14,10,10,11,10,9,12,8,8,16,14,10,6,13,12,14,9,15,3,12,9,10,10,12,14,14,11,9,10,13,12,11,2,3,3,3,2,2,2,3,3,2,2
- - -,BPR,2000014077,Arsen Zakharyan,"DM, M (C), AM (RLC)",Blackburn,RUS,"6'0""",72 kg,21,£27M - £30M,"£49,500 p/w",Right,Fairly Strong,Very Strong,Ambitious,Media-friendly,12,9,12,11,12,12,5,12,4,4,13,13,4,13,7,13,8,13,9,14,17,14,10,14,9,12,17,10,12,13,12,12,8,13,10,9,3,2,1,2,1,2,2,3,1,2,2
- - -,Rst,29127852,Lewis Cook,"DM, M (C)",Blackburn,ENG,"5'9""",71 kg,27,£22M - £26M,"£38,000 p/w",Right,Reasonable,Very Strong,Resolute,Reserved,9,10,12,11,14,5,6,9,3,8,16,8,15,15,14,14,14,15,13,13,15,13,15,12,13,15,16,14,14,15,15,8,16,13,14,14,1,2,1,2,1,3,3,1,2,2,3
- - -,PR,51055617,Carlos Rodríguez,M/AM (C),Blackburn,MEX,"5'9""",66 kg,27,£22M - £24M,"£43,000 p/w",Right,Reasonable,Very Strong,Fairly Professional,Level-headed,11,12,13,12,16,11,8,11,13,11,14,13,11,15,8,14,12,16,15,15,14,13,11,15,11,14,16,14,12,16,16,9,13,13,14,7,3,3,4,3,2,1,3,2,3,3,3
- - -,PR,93064994,Anel Ahmedhodžić,D (C),Blackburn,BIH,"6'3""",84 kg,25,£21M - £25M,"£52,000 p/w",Right,Reasonable,Very Strong,Spirited,Level-headed,6,12,11,5,13,7,15,7,7,14,15,8,14,12,14,16,14,13,14,15,15,10,13,10,14,11,14,11,14,11,13,16,13,14,13,14,1,1,3,1,4,3,2,3,2,2,2
- - -,,67260440,Bryan Gil,"WB (L), M (RL), AM (RLC)",Blackburn,ESP,"5'9""",69 kg,23,£17M - £26M,"£8,000 p/w",Left,Very Strong,Reasonable,Light-Hearted,Evasive,10,13,16,12,12,9,7,11,6,5,12,9,4,13,10,12,9,11,11,12,16,17,7,13,5,9,13,11,16,15,14,6,12,14,13,8,3,2,2,2,1,1,3,4,3,3,2
- - -,,85046587,Florian Thauvin,"M (RL), AM (RLC)",Blackburn,FRA,"5'10""",70 kg,31,£16.5M - £18M,"£85,000 p/w",Left,Very Strong,Reasonable,Fairly Professional,Level-headed,9,14,15,13,16,13,8,14,3,3,15,13,3,16,11,14,13,14,11,12,14,16,9,15,6,14,15,13,14,15,13,8,14,15,13,9,1,3,2,3,1,2,1,2,2,1,2
- - -,,43391659,Elia Caprile,GK,Blackburn,ITA,"6'3""",74 kg,23,£16.5M - £18M,"£22,000 p/w",Right,Weak,Very Strong,Fairly Professional,Reserved,3,3,1,2,7,5,6,3,3,2,11,2,2,7,12,13,11,12,13,12,14,7,9,4,16,12,12,13,11,13,11,15,14,12,15,11,15,14,14,10,15,14,16,12,14,14,13
- - -,,28120046,Taylor Harwood-Bellis,D (RC),Blackburn,ENG,"6'2""",82 kg,22,£15M - £19M,"£33,500 p/w",Right Only,Weak,Very Strong,Perfectionist,Level-headed,5,6,8,7,11,2,14,11,6,16,12,7,13,12,12,11,12,13,14,12,18,6,14,5,16,13,9,13,13,13,13,15,14,14,13,15,2,4,2,3,4,1,3,2,3,2,3
- - -,Wnt,29156100,Lewis Travis,"DM, M (C)",Blackburn,ENG,"6'0""",67 kg,27,£12.5M - £16.5M,"£30,000 p/w",Right,Reasonable,Very Strong,Perfectionist,Level-headed,7,10,10,7,11,7,12,9,7,13,12,7,15,12,17,14,19,11,11,13,18,9,16,12,13,14,12,19,13,13,13,12,16,13,18,13,3,1,3,2,1,3,1,3,3,1,1
- - -,PR,28100360,Sean Longstaff,"DM, M (C)",Blackburn,ENG,"5'11""",64 kg,27,£12M - £16M,"£27,000 p/w",Right,Weak,Very Strong,Balanced,Media-friendly,11,11,13,13,14,11,10,13,7,11,14,5,15,13,11,13,15,14,12,12,6,12,11,15,13,16,14,16,11,12,13,12,12,12,15,12,1,3,4,1,3,3,2,1,1,1,2
