Rec,Inf,UID,Name,Position,Club,Nat,Height,Weight,Age,Transfer Value,Wage,Preferred Foot,Left Foot,Right Foot,Personality,Media Handling,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr
- - -,Wnt,49056243,Eduardo Camavinga,"DM, M (C)",Blackburn,FRA,"6'0""",68 kg,23,£75M - £83M,"£92,000 p/w",Left,Very Strong,Reasonable,Fairly Determined,Level-headed,7,9,13,10,15,6,12,11,5,15,16,8,15,16,15,15,14,14,15,15,16,13,15,14,16,14,15,17,16,15,16,13,15,15,16,18,1,3,2,2,1,1,1,2,3,2,1
- - -,,43424567,Kristjan Asllani,"DM, M/AM (C)",Blackburn,ALB,"5'9""",68 kg,24,£24M - £26M,"£54,000 p/w",Right,Reasonable,Very Strong,Resolute,Level-headed,11,11,12,11,16,12,8,13,5,10,17,13,10,13,10,15,12,16,12,13,15,12,11,14,14,13,15,14,14,13,14,8,14,13,17,12,2,3,4,2,3,2,3,1,4,3,1
- - -,PR,48031455,Houssem Aouar,M/AM (LC),Blackburn,FRA,"5'9""",70 kg,27,£37M - £40M,"£100,000 p/w",Right,Reasonable,Very Strong,Fairly Professional,Level-headed,13,11,15,11,16,13,7,9,5,10,16,12,8,16,9,12,11,15,12,13,13,16,13,15,12,15,18,11,13,16,12,7,14,13,14,10,1,2,1,2,3,1,1,3,3,2,2
- - -,,78059800,Giorgian De Arrascaeta,M/AM (LC),Blackburn,URU,"5'8""",73 kg,31,£22M - £29M,"£70,000 p/w",Right,Weak,Very Strong,Fairly Determined,Media-friendly,14,14,15,13,16,14,12,12,4,4,17,13,10,17,10,16,13,12,11,13,15,17,11,13,7,13,17,13,14,16,13,12,12,13,12,11,1,2,1,2,3,1,3,3,2,1,1
- - -,,51055617,Carlos Rodríguez,M/AM (C),Blackburn,MEX,"5'9""",66 kg,29,£26M - £29M,"£43,000 p/w",Right,Reasonable,Very Strong,Fairly Professional,Level-headed,11,12,12,12,16,11,8,11,13,11,14,13,11,15,8,14,12,16,15,15,14,13,11,15,11,14,17,15,12,16,16,9,13,13,14,7,3,3,4,3,2,1,3,2,3,3,3
- - -,Wnt,49040115,Illan Meslier,GK,Blackburn,FRA,"6'5""",74 kg,26,£24M - £26M,"£120,000 p/w",Left Only,Very Strong,Weak,Balanced,Level-headed,3,3,1,1,12,7,9,1,2,3,12,2,3,12,12,16,14,14,15,14,12,4,9,4,15,12,12,13,9,16,13,17,15,9,14,9,17,14,13,10,13,13,17,9,16,13,15
- - -,,24061498,Dion Drena Beljo,ST (C),Blackburn,CRO,"6'5""",89 kg,24,£62M - £78M,"£45,000 p/w",Left,Very Strong,Reasonable,Driven,Level-headed,4,8,13,16,15,7,13,12,4,4,13,15,5,14,12,15,12,13,13,14,18,15,9,15,8,13,14,12,13,14,15,17,15,15,15,16,3,3,2,1,2,3,1,1,3,3,2
- - B -,Ret,91018389,Joël Matip,D (C),Blackburn,CMR,"6'5""",88 kg,34,£9M,"£49,000 p/w",Right,Weak,Very Strong,Fairly Professional,Reserved,3,6,13,4,14,4,15,2,7,14,15,4,14,14,15,14,14,14,16,14,14,11,8,10,16,14,11,15,11,11,11,15,13,11,12,12,4,2,3,1,1,1,3,1,1,1,1
- - -,Wnt,19380666,Marcos Leonardo,"AM (L), ST (C)",Blackburn,BRA,"5'9""",70 kg,22,£49M - £61M,"£100,000 p/w",Right,Reasonable,Very Strong,Balanced,Media-friendly,5,10,13,16,14,5,12,11,9,7,12,10,5,13,12,15,12,16,14,15,13,14,13,16,8,12,12,14,16,16,13,12,13,14,15,14,2,1,3,2,2,3,3,2,4,3,2
- - -,,93064994,Anel Ahmedhodžić,D (C),Blackburn,BIH,"6'3""",84 kg,26,£60M - £72M,"£75,000 p/w",Right,Reasonable,Very Strong,Spirited,Level-headed,6,13,12,5,13,7,15,7,8,16,16,8,15,12,14,17,15,14,15,17,15,10,14,11,15,13,14,13,15,13,13,17,13,15,14,14,1,1,3,1,4,3,2,3,2,2,2
- - -,Wnt,62220026,Strahinja Pavlović,D (C),Blackburn,SRB,"6'4""",83 kg,24,£28M - £34M,"£70,000 p/w",Left,Very Strong,Weak,Fairly Determined,Level-headed,6,5,9,6,13,6,14,7,8,15,11,8,13,11,14,15,15,14,14,13,15,12,13,10,16,12,13,15,12,14,15,17,15,14,15,17,3,2,3,2,3,2,1,3,2,1,4
- - -,,18091791,Wilfred Ndidi,"D (C), DM, M (C)",Blackburn,NGA,"6'0""",73 kg,29,£32M - £36M,"£70,000 p/w",Right,Weak,Very Strong,Fairly Ambitious,Level-headed,10,10,12,7,13,10,14,12,10,13,14,6,19,13,14,18,13,12,13,12,14,12,10,11,16,15,13,17,13,13,11,15,17,13,16,12,3,2,2,1,2,3,1,2,3,1,3
- - -,,29127852,Lewis Cook,"DM, M (C)",Blackburn,ENG,"5'9""",71 kg,29,£28M - £34M,"£38,000 p/w",Right,Reasonable,Very Strong,Resolute,Reserved,9,10,12,10,14,5,6,9,3,8,16,8,15,14,14,14,14,15,12,13,15,13,15,12,13,15,16,14,14,15,15,8,16,13,14,14,1,2,1,2,1,3,3,1,2,2,3
