Rec,Inf,UID,Name,Position,Club,Nat,Height,Weight,Age,Transfer Value,Wage,Preferred Foot,Left Foot,Right Foot,Personality,Media Handling,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr
- - -,Hol,67260506,Kang-In Lee,"M/AM (RLC), ST (C)",Blackburn,KOR,"5'8""",68 kg,23,£35M - £43M,"£62,000 p/w",Left,Very Strong,Fairly Strong,Spirited,Evasive,12,12,15,13,15,13,8,14,8,6,15,13,6,15,13,12,11,13,10,11,16,17,10,14,9,9,16,12,13,16,13,7,13,12,12,11,3,1,1,3,2,2,1,3,3,4,3
- - -,Hol,19380666,Marcos Leonardo,"AM (L), ST (C)",Blackburn,BRA,"5'9""",70 kg,21,£32M - £41M,"£100,000 p/w",Right,Reasonable,Very Strong,Balanced,Media-friendly,4,8,12,15,13,5,11,11,8,5,11,10,4,12,12,15,12,15,13,13,13,13,12,15,7,12,12,14,15,15,13,12,12,14,15,13,2,1,3,2,2,3,3,2,4,3,2
- - -,Hol,24061498,Dion Drena Beljo,ST (C),Blackburn,CRO,"6'5""",89 kg,22,£29M - £38M,"£9,250 p/w",Left,Very Strong,Reasonable,Resolute,Level-headed,4,7,13,15,14,6,13,12,3,4,12,14,4,14,12,14,12,12,12,13,17,15,8,14,7,13,13,12,12,13,14,16,15,13,14,15,3,3,2,1,2,3,1,1,3,3,2
- - -,Hol,43391659,Elia Caprile,GK,Blackburn,ITA,"6'3""",74 kg,22,£27M - £30M,"£22,000 p/w",Right,Weak,Very Strong,Fairly Professional,Reserved,3,3,1,2,7,5,6,3,3,2,11,2,2,6,12,13,11,12,13,12,14,7,9,4,16,12,12,13,11,13,11,14,14,11,15,11,15,14,14,10,15,13,15,12,14,14,13
- - -,Hol,2000014077,Arsen Zakharyan,"DM, M (C), AM (RLC)",Blackburn,RUS,"6'0""",72 kg,21,£27M - £30M,"£49,500 p/w",Right,Fairly Strong,Very Strong,Ambitious,Media-friendly,13,9,12,12,13,12,5,12,4,4,13,13,4,13,7,13,8,13,9,14,17,14,10,14,9,12,16,10,13,13,12,12,8,13,10,9,3,2,1,2,1,2,2,3,1,2,2
- - -,Hol,29127852,Lewis Cook,"DM, M (C)",Blackburn,ENG,"5'9""",71 kg,27,£20M - £24M,"£38,000 p/w",Right,Reasonable,Very Strong,Resolute,Reserved,9,10,12,11,14,5,6,9,3,8,16,8,15,14,14,14,14,15,13,13,15,13,15,12,13,15,16,14,14,15,14,8,16,13,14,14,1,2,1,2,1,3,3,1,2,2,3
- - -,Hol,93064994,Anel Ahmedhodžić,D (C),Blackburn,BIH,"6'3""",84 kg,25,£18M - £21M,"£52,000 p/w",Right,Reasonable,Very Strong,Perfectionist,Level-headed,6,12,11,5,12,7,14,7,7,14,15,8,14,12,14,15,14,13,14,15,15,10,13,10,14,11,13,11,14,11,13,16,13,14,13,14,1,1,3,1,4,3,2,3,2,2,2
- - -,Hol,29142089,Scott Wharton,D (C),Blackburn,ENG,"6'2""",65 kg,26,£18M - £19.5M,"£26,500 p/w",Left,Very Strong,Weak,Fairly Professional,Reserved,5,8,7,7,12,8,16,5,7,15,12,7,12,12,14,13,15,14,13,13,12,5,15,9,15,12,12,11,12,12,14,16,15,12,13,14,2,1,3,3,1,2,3,2,2,3,2
- - -,Hol,28120046,Taylor Harwood-Bellis,D (RC),Blackburn,ENG,"6'2""",82 kg,22,£16.5M - £21M,"£33,500 p/w",Right Only,Weak,Very Strong,Perfectionist,Level-headed,5,6,8,7,11,3,14,11,6,16,12,8,13,12,12,12,12,13,14,13,18,6,14,5,16,13,9,13,14,13,13,15,14,14,13,15,2,4,2,3,4,1,3,2,3,2,3
- - -,Hol,29156100,Lewis Travis,"DM, M (C)",Blackburn,ENG,"6'0""",67 kg,26,£13M - £17M,"£30,000 p/w",Right,Reasonable,Very Strong,Perfectionist,Level-headed,7,10,10,7,11,7,12,9,7,13,12,7,15,12,17,14,19,10,11,13,18,9,16,12,13,14,12,19,13,13,12,12,16,13,18,13,3,1,3,2,1,3,1,3,3,1,1
- - -,Hol,28100360,Sean Longstaff,"DM, M (C)",Blackburn,ENG,"5'11""",64 kg,26,£11.5M - £15.5M,"£27,000 p/w",Right,Weak,Very Strong,Balanced,Media-friendly,11,11,13,13,14,11,10,13,7,11,14,5,15,13,11,13,15,14,12,12,6,12,10,15,13,16,13,16,11,12,13,12,12,12,15,12,1,3,4,1,3,3,2,1,1,1,2
- - -,Hol,49041157,Melvin Bard,D/WB/M/AM (L),Blackburn,FRA,"5'8""",65 kg,23,£9.6M - £10.5M,"£19,500 p/w",Left,Very Strong,Weak,Fairly Determined,Level-headed,5,15,13,6,13,5,9,8,10,14,14,5,13,14,15,12,15,11,10,12,16,13,11,11,12,15,12,14,14,12,12,7,15,14,11,11,4,2,4,2,2,2,1,2,3,1,3
- - -,Hol,2000137635,Ashley Phillips,D (C),Blackburn,ENG,"6'4""",88 kg,19,£9M - £11M,"£5,000 p/w",Right,Reasonable,Very Strong,Fairly Loyal,Media-friendly,4,5,7,5,11,6,14,4,5,12,10,7,11,12,8,13,12,11,13,13,14,7,8,10,11,11,10,10,12,13,14,17,14,14,12,15,1,3,2,2,1,1,1,2,2,1,3
- - -,Hol,28116488,Dilan Markanday,"AM (RL), ST (C)",Blackburn,ENG,"5'10""",64 kg,22,£7.6M - £9.4M,"£5,000 p/w",Left,Very Strong,Reasonable,Balanced,Level-headed,8,11,15,9,11,11,9,11,3,7,11,12,5,13,11,11,11,12,7,11,10,15,8,11,8,10,12,11,15,16,14,6,12,13,11,11,3,1,1,2,3,1,3,3,3,2,3
- - -,Hol,74032588,Ryan Hedges,"M (C), AM (RC)",Blackburn,WAL,"6'1""",65 kg,28,£7.4M - £8.8M,"£15,000 p/w",Left,Very Strong,Reasonable,Fairly Professional,Reserved,11,12,14,11,13,11,7,13,4,5,14,10,6,14,9,9,6,14,9,11,13,14,11,14,10,15,14,14,14,14,14,11,12,13,12,7,2,1,3,3,3,2,1,1,2,1,3
- - -,Hol,29157673,Harry Pickering,D/WB (L),Blackburn,ENG,"6'1""",79 kg,25,£6.2M - £6.8M,"£10,000 p/w",Left,Very Strong,Reasonable,Professional,Level-headed,12,13,12,10,14,12,11,10,7,11,13,9,10,13,10,12,10,14,14,14,12,8,11,14,13,15,14,16,10,11,12,9,14,11,15,10,3,2,3,4,4,2,1,1,1,3,1
- - -,Hol,29158533,Callum Brittain,D/WB (R),Blackburn,ENG,"5'11""",73 kg,26,£5.6M - £6M,"£15,000 p/w",Right,Reasonable,Very Strong,Balanced,Level-headed,9,12,12,6,12,7,9,7,7,13,11,5,12,12,11,12,12,11,13,12,13,12,12,13,12,13,12,16,14,12,13,12,14,12,15,10,3,1,1,2,2,1,3,3,3,4,2
- - -,Hol,2002232693,Ibrahim Bio,"AM (LC), ST (C)",Blackburn,SCO,"6'1""",71 kg,17,£5M - £6M,£550 p/w,Either,Very Strong,Strong,Fairly Determined,"Volatile, Media-friendly, Confrontational",5,4,8,7,11,10,10,6,3,2,11,6,1,14,14,8,14,8,7,8,15,13,6,14,4,6,6,7,14,13,15,8,14,12,9,6,2,1,1,2,2,2,2,3,3,3,3
- - -,Hol,2000053511,Harry Leonard,"AM (RLC), ST (C)",Blackburn,ENG,"5'11""",75 kg,20,£5M - £5.8M,£925 p/w,Right,Fairly Strong,Very Strong,Balanced,Media-friendly,4,7,9,13,12,13,7,11,3,5,10,12,5,11,8,13,10,12,8,11,10,9,8,12,10,12,11,12,13,12,13,11,13,13,11,10,2,4,3,3,1,1,2,2,1,1,1
- - -,Hol,2002093897,Glenn Kirk,M/AM (L),Blackburn,CAN,"5'9""",67 kg,18,£1.6M - £2.6M,"£2,200 p/w",Left,Very Strong,Fairly Strong,Driven,"Volatile, Media-friendly",8,11,12,6,13,10,6,5,6,4,9,4,4,14,11,8,15,7,6,9,18,13,4,9,5,7,10,9,13,15,10,6,6,14,7,5,1,1,1,1,3,2,1,2,3,1,3
- - -,Hol,85010871,Nampalys Mendy,"DM, M (C)",Blackburn,SEN,"5'6""",71 kg,32,£1.5M - £2.4M,"£25,000 p/w",Right,Weak,Very Strong,Balanced,Level-headed,8,11,11,8,14,7,8,7,6,13,14,11,15,13,13,15,14,15,13,15,13,8,7,8,14,16,12,16,12,13,13,5,15,11,16,11,1,1,3,2,2,2,2,1,3,3,3
- - -,Hol,2002093861,Chris Bood,M/AM (C),Blackburn,USA,"5'7""",65 kg,19,£900K - £1.4M,"£1,700 p/w",Either,Strong,Very Strong,Light-Hearted,"Evasive, Unflappable",8,5,8,8,13,10,4,5,4,5,14,6,9,15,12,9,7,11,6,12,11,14,10,10,5,8,13,9,7,10,8,3,13,10,9,7,1,4,3,3,1,2,1,3,1,1,4
- - -,Hol,2000191713,Paul Murphy-Worrell,"D/WB (L), DM, M (LC), AM (RL)",Blackburn,ENG,"6'1""",75 kg,17,£550K - £950K,"£2,500 p/w",Left,Very Strong,Weak,Balanced,Media-friendly,4,6,7,5,9,6,7,9,6,7,8,5,8,9,8,7,7,10,8,12,12,12,6,8,7,13,11,8,10,12,14,12,13,12,10,9,2,1,2,3,3,2,3,2,2,3,2
- - -,Hol,2002339789,Malick Kujabi,D (C),Blackburn,SWE,"6'1""",70 kg,16,£500K - £850K,£180 p/w,Right,Weak,Very Strong,Unambitious,Level-headed,3,7,4,5,5,1,7,5,6,10,9,5,14,7,8,11,15,9,6,10,13,5,13,5,7,10,6,12,9,7,14,11,14,7,8,6,3,2,3,3,3,1,1,2,4,1,2
- - -,Hol,29218326,Ethan Walker,"AM (RL), ST (C)",Blackburn,ENG,"6'1""",79 kg,21,£500K,£625 p/w,Right Only,Weak,Very Strong,Driven,Media-friendly,4,9,11,4,8,6,7,8,7,6,9,9,8,11,11,8,9,9,7,10,18,13,12,9,7,10,9,10,13,11,10,9,11,13,10,11,1,1,2,1,2,4,1,2,3,3,3
- - -,Hol,2000191716,James Edmondson,M/AM (C),Blackburn,ENG,"6'0""",72 kg,18,£300K - £1.6M,"£2,200 p/w",Right Only,Weak,Very Strong,Fairly Determined,Media-friendly,7,5,6,4,12,7,5,7,2,10,13,6,10,15,12,9,5,13,4,12,15,14,11,10,8,13,14,11,10,12,10,10,15,13,10,8,2,4,3,3,1,3,3,3,2,2,1
- - -,Hol,2000191720,Junior Nsangou,"AM (LC), ST (C)",Blackburn,CMR,"6'1""",75 kg,18,£250K - £1.2M,"£1,300 p/w",Right,Weak,Very Strong,Balanced,Level-headed,3,5,15,9,13,5,9,10,1,3,7,7,1,12,5,12,8,12,4,8,12,12,12,12,2,6,8,9,11,11,17,14,17,10,7,9,2,1,3,3,3,3,2,2,4,3,2
- - -,Hol,2002339787,Christie Coppen,GK,Blackburn,ENG,"5'11""",68 kg,16,£230K - £1.9M,£180 p/w,Right,Weak,Very Strong,Balanced,Outspoken,3,2,1,1,5,6,1,3,1,3,5,2,1,5,9,8,14,4,11,13,7,1,5,1,7,12,7,8,8,11,12,7,6,10,7,4,7,12,9,1,8,11,12,7,14,14,6
- - -,Hol,2002232700,Marco Braun,D (C),Blackburn,AUT,"6'7""",87 kg,17,£200K - £1.2M,£400 p/w,Right Only,Very Weak,Very Strong,Fairly Determined,Level-headed,6,3,7,6,7,5,10,5,8,10,6,4,15,4,12,11,12,9,11,9,16,2,10,2,9,10,6,12,12,12,10,16,10,10,9,9,1,2,1,3,3,1,3,3,3,3,3
- - -,Hol,2002232695,Vladimir Gašić,D (C),Blackburn,SRB,"5'10""",68 kg,17,£190K - £850K,£375 p/w,Left,Very Strong,Weak,Resilient,Unflappable,6,6,4,4,10,5,11,2,6,11,7,3,11,6,8,10,17,10,12,9,17,8,12,5,9,15,3,14,13,12,9,10,11,11,12,10,1,1,1,3,2,1,3,3,2,1,1
- - -,Hol,2002232690,Karl O'Neill,GK,Blackburn,ENG,"6'0""",70 kg,16,£170K - £1.2M,£180 p/w,Right,Weak,Very Strong,Balanced,Media-friendly,3,3,1,1,3,7,1,2,3,2,5,1,1,5,7,7,8,5,8,13,13,3,14,3,11,6,4,6,2,11,10,10,13,3,8,6,9,11,11,1,13,12,8,10,10,8,8
- - -,Hol,2002339796,Dominik Milutinović,D (L),Blackburn,ENG,"6'3""",72 kg,16,£160K - £1.2M,£180 p/w,Left Only,Very Strong,Weak,Fairly Sporting,Level-headed,5,7,9,5,10,9,8,4,7,10,7,6,15,6,12,7,18,7,9,10,11,9,13,6,12,12,7,7,10,7,13,14,12,9,9,7,2,3,1,1,2,3,3,3,2,3,3
- - -,Hol,2002339795,Eamon Ozmen,WB (R),Blackburn,ENG,"6'0""",72 kg,16,£150K - £600K,£180 p/w,Either,Strong,Very Strong,Fairly Determined,Level-headed,4,7,8,4,7,1,6,1,7,8,9,5,11,11,13,8,8,8,6,8,15,2,2,6,9,8,7,12,11,8,6,12,5,7,14,7,2,2,3,2,2,3,2,2,4,3,3
- - -,Hol,2002232697,Gareth Cochrane,D (LC),Blackburn,ENG,"6'4""",86 kg,17,£110K - £210K,£180 p/w,Left Only,Very Strong,Weak,Light-Hearted,Unflappable,3,3,3,2,5,4,12,4,2,8,4,4,15,5,10,6,16,7,8,9,6,6,8,1,7,11,5,12,8,5,12,14,13,6,10,13,3,2,2,1,2,2,3,1,1,3,3
- - -,Hol,2000139533,Dominik Biniek,M/AM (RLC),Blackburn,POL,"5'9""",67 kg,20,£95K - £170K,£200 p/w,Right,Reasonable,Very Strong,Balanced,Media-friendly,5,10,11,7,12,5,6,7,5,5,13,7,5,11,9,6,5,10,5,12,10,11,9,12,4,7,6,7,14,10,9,1,8,11,9,5,1,2,2,4,3,3,1,3,4,1,2
- - -,Hol,28107810,Joe Hilton,GK,Blackburn,ENG,"6'6""",94 kg,24,£90K - £375K,"£3,300 p/w",Right Only,Weak,Very Strong,Balanced,Media-friendly,4,4,3,3,7,5,5,5,10,5,12,3,5,7,5,11,9,12,11,10,1,3,6,4,12,11,7,12,11,9,8,15,11,10,10,14,16,11,10,3,10,11,9,4,9,7,10
- - -,Hol,2002339792,Matt Jones,ST (C),Blackburn,WAL,"5'10""",64 kg,16,£60K - £600K,£180 p/w,Right Only,Weak,Very Strong,Unambitious,Level-headed,2,6,5,11,11,5,8,8,1,8,7,6,3,7,8,7,10,11,6,9,3,7,4,10,2,9,7,6,14,10,9,10,10,12,9,5,2,2,2,4,1,1,2,1,2,1,3
