Rec,Inf,UID,Name,Position,Club,Nat,Height,Weight,Age,Transfer Value,Wage,Preferred Foot,Left Foot,Right Foot,Personality,Media Handling,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr
- - -,Inj,5125012,Adam Lallana,"DM, M/AM (C)",Brighton,ENG,"5'8""",73 kg,34,£2.2M - £4.6M,"£67,000 p/w",Right,Fairly Strong,Very Strong,Professional,"Evasive, Unflappable",11,13,16,8,16,7,6,7,4,11,15,9,9,18,11,15,12,16,15,15,15,16,15,16,11,16,15,14,9,13,12,6,14,9,10,8,1,4,1,3,3,3,3,3,1,1,3
- - -,Wnt,37024733,Joël Veltman,D (RC),Brighton,NED,"6'0""",73 kg,30,£17M - £18.5M,"£50,000 p/w",Right,Weak,Very Strong,Professional,Unflappable,7,11,10,8,13,4,14,5,9,14,13,7,16,13,17,14,14,14,16,14,16,9,15,11,17,14,11,14,12,12,11,13,16,12,14,12,4,1,3,2,3,3,2,3,2,2,2
- - -,,29036189,Lewis Dunk,D (C),Brighton,ENG,"6'3""",78 kg,30,£33M - £36M,"£80,000 p/w",Right,Reasonable,Very Strong,Fairly Professional,Reserved,5,7,9,6,13,9,14,5,6,14,14,10,16,13,13,14,17,14,15,15,14,8,15,7,15,14,12,14,11,11,10,16,13,14,15,14,3,3,4,1,2,3,2,1,1,3,1
- - -,PR,28010491,Danny Welbeck,"AM (RL), ST (C)",Brighton,ENG,"6'1""",73 kg,31,£10.5M - £12M,"£50,000 p/w",Right,Reasonable,Very Strong,Fairly Professional,Reserved,5,8,13,14,13,4,13,9,3,6,11,10,6,14,11,13,14,13,13,13,14,14,11,15,8,15,12,16,14,12,11,14,15,15,14,14,2,3,3,3,2,2,3,1,2,1,2
- - -,Inj,28115788,Curtis Jones,"M (C), AM (LC)",Brighton,ENG,"6'1""",75 kg,21,£30M - £42M,"£19,500 p/w",Right,Reasonable,Very Strong,Spirited,"Evasive, Unflappable",11,13,16,11,16,11,8,12,7,11,14,13,9,15,11,14,11,15,13,13,15,15,11,14,10,15,14,14,14,15,14,9,12,13,13,11,1,3,1,1,3,4,2,2,2,1,2
- - -,PR,29116247,Ivan Toney,ST (C),Brighton,ENG,"6'2""",87 kg,26,£52M - £57M,"£95,000 p/w",Right,Reasonable,Very Strong,Fairly Determined,Outspoken,4,10,12,16,13,9,15,13,5,4,12,19,8,14,15,12,14,14,12,13,16,12,14,12,10,15,12,16,14,12,13,15,14,15,14,15,2,4,3,3,3,1,3,4,3,3,2
- - -,PR,86078360,Moisés Caicedo,"DM, M (C)",Brighton,ECU,"5'10""",73 kg,20,£57M - £81M,"£25,000 p/w",Right,Weak,Very Strong,Balanced,Media-friendly,5,8,14,11,14,8,9,12,4,12,15,8,18,14,13,14,13,14,14,14,14,14,9,13,14,14,14,15,16,16,12,9,18,14,16,10,3,3,2,2,1,2,1,2,2,2,1
- - -,PR,16202373,Dominik Szoboszlai,M/AM (LC),Brighton,HUN,"6'1""",74 kg,21,£85M - £95M,"£130,000 p/w",Right,Fairly Strong,Very Strong,Fairly Determined,Level-headed,16,13,13,12,14,16,9,15,5,8,14,16,9,16,8,13,12,12,12,13,15,16,9,14,9,14,14,14,15,12,12,13,13,15,13,11,4,1,1,2,3,3,2,4,2,1,1
- - -,PR,45111891,Kaoru Mitoma,M/AM (L),Brighton,JPN,"5'10""",72 kg,25,£33M - £36M,"£20,000 p/w",Right,Weak,Very Strong,Spirited,"Evasive, Unflappable",10,11,18,13,15,9,8,14,7,8,13,10,8,14,9,9,13,14,15,14,13,16,6,14,7,12,14,12,17,14,14,10,14,16,13,7,3,1,1,1,2,3,2,3,3,1,1
- - -,PR,29156212,Robert Sánchez,GK,Brighton,ESP,"6'6""",91 kg,24,£25M - £30M,"£25,000 p/w",Right,Fairly Strong,Very Strong,Balanced,Media-friendly,4,2,3,2,11,5,2,2,3,2,13,3,2,13,8,11,15,14,10,10,10,9,7,2,12,12,12,9,12,13,12,18,16,10,12,14,17,17,11,11,14,15,15,10,15,14,14
