Rec,Inf,UID,Name,Position,Club,Nat,Height,Weight,Age,Transfer Value,Wage,Preferred Foot,Left Foot,Right Foot,Personality,Media Handling,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr
- - -,Inj,49056279,Rayan Cherki,"AM (RLC), ST (C)",OL,FRA,177 cm,71 kg,18,£29M - £37M,"£30,000 p/w",Either,Very Strong,Very Strong,Balanced,Media-friendly,12,10,16,12,15,13,4,9,3,3,11,9,3,16,6,8,8,13,7,9,13,16,8,11,5,8,12,7,13,14,11,7,12,13,8,12,1,2,3,1,2,3,3,2,2,2,3
- - -,Loa,67277465,Sergio Arribas,"M (L), AM (LC)",R. Madrid,ESP,173 cm,63 kg,20,£17M - £20M,"£7,250 p/w",Left,Very Strong,Fairly Strong,Balanced,Level-headed,15,14,13,13,14,15,4,13,4,7,13,7,2,15,6,11,7,9,10,11,14,16,7,11,11,14,13,12,15,13,11,7,10,14,11,10,3,2,3,2,1,2,2,1,2,1,1
- - -,Loa,28121568,Anthony Elanga,M/AM (RL),Man UFC,SWE,180 cm,71 kg,20,£11.5M - £17.5M,"£40,000 p/w",Right,Fairly Strong,Very Strong,Balanced,Media-friendly,5,8,14,13,12,4,10,12,2,1,11,10,2,13,12,10,8,11,9,9,9,16,3,13,5,13,6,14,18,14,11,10,15,18,12,10,1,1,1,3,1,1,1,2,2,2,3
- - -,Wnt,83262111,Jeremy Sarmiento,AM (RL),Brighton,ECU,181 cm,75 kg,20,£10M - £13M,"£12,000 p/w",Right,Reasonable,Very Strong,Balanced,Media-friendly,8,11,15,12,13,8,10,12,6,6,10,10,7,14,9,11,9,12,9,9,13,14,7,14,7,10,9,12,15,14,14,10,7,15,13,9,3,3,1,2,1,1,1,1,2,1,3
- - -,Wnt,43500350,Wilfried Gnonto,"AM (RLC), ST (C)",Leeds,ITA,170 cm,71 kg,18,£9.6M - £14.5M,"£20,000 p/w",Right,Reasonable,Very Strong,Fairly Determined,Media-friendly,5,9,14,13,12,8,8,9,3,4,12,10,6,15,8,11,9,13,7,8,16,14,6,13,5,9,11,13,16,14,12,5,17,15,12,8,2,1,2,2,2,3,3,3,1,2,3
- - -,,2000014559,Ernest Poku,"AM (RL), ST (C)",AZ,NED,176 cm,67 kg,18,£8.8M - £11M,"£1,200 p/w",Either,Strong,Very Strong,Fairly Loyal,Level-headed,7,9,11,10,11,7,5,7,4,4,9,11,5,11,6,13,9,10,8,9,12,13,3,12,5,7,8,8,17,13,9,9,12,17,7,7,3,1,4,2,1,3,4,2,2,1,2
- - -,Wnt,37065567,Crysencio Summerville,"M (R), AM (RL)",Leeds,NED,165 cm,59 kg,21,£5.4M - £6.6M,"£7,500 p/w",Right,Fairly Strong,Very Strong,Balanced,Media-friendly,5,11,15,8,12,4,3,6,2,4,8,8,4,12,7,11,8,9,6,7,11,14,4,11,4,11,9,12,18,16,13,4,9,17,12,4,2,3,2,3,1,3,1,3,2,1,1
- - -,,85072773,Bouna Sarr,D/WB/M/AM (R),FC Bayern II,SEN,178 cm,71 kg,30,£1.4M - £2.8M,"£41,500 p/w",Right,Reasonable,Very Strong,Balanced,Level-headed,12,11,13,8,12,11,7,8,12,10,12,9,12,13,12,12,12,11,10,10,12,13,4,13,11,13,11,15,15,14,11,8,13,15,14,10,2,2,2,3,2,1,2,3,2,1,1
- - A -,,28098206,Kieran Dowell,"M (C), AM (RLC)",Norwich,ENG,186 cm,67 kg,24,£475K - £6.6M,"£25,000 p/w",Left,Very Strong,Reasonable,Balanced,Level-headed,13,14,15,11,14,14,8,14,5,7,15,12,7,16,7,14,9,15,13,12,13,14,8,14,6,13,15,10,10,14,15,11,12,10,13,9,2,3,1,3,1,2,2,3,2,2,2
- - -,,8430773,Jérémy Ménez,"AM (RLC), ST (C)",Reggina,FRA,183 cm,79 kg,35,£150K - £450K,"£11,750 p/w",Right,Fairly Strong,Very Strong,Fairly Ambitious,Media-friendly,7,15,17,16,17,14,7,14,3,3,17,17,3,17,11,14,10,13,6,9,14,17,6,16,2,6,17,5,11,14,13,10,16,10,7,9,1,2,1,3,1,3,2,1,1,4,1
